1;1;;"2023-07-01";"2023-08-01";"''"
2;2;;"2023-07-02";"2023-08-02";"''"
3;3;;"2023-07-03";"2023-08-03";"''"
4;4;;"2023-07-04";"2023-08-04";"''"
5;5;;"2023-07-05";"2023-08-05";"''"
6;6;;"2023-07-06";"2023-08-06";"''"
7;7;;"2023-07-07";"2023-08-07";"''"
8;8;;"2023-07-08";"2023-08-08";"''"
9;9;;"2023-07-09";"2023-08-09";"''"
10;10;;"2023-07-10";"2023-08-10";"''"
11;11;;"2023-07-11";"2023-08-11";"''"
12;12;;"2023-07-12";"2023-08-12";"''"
13;13;;"2023-07-13";"2023-08-13";"''"
14;14;;"2023-07-14";"2023-08-14";"''"
15;15;;"2023-07-15";"2023-08-15";"''"
16;16;;"2023-07-16";"2023-08-16";"''"
17;17;;"2023-07-17";"2023-08-17";"''"
18;18;;"2023-07-18";"2023-08-18";"''"
19;19;;"2023-07-19";"2023-08-19";"''"
20;20;;"2023-07-20";"2023-08-20";"''"
